ENCFF603OCV.bed.gz,YY1  
ENCFF813QDL.bed.gz,POLR2AphosphoS5  
ENCFF687NGB.bed.gz,H3K27ac  
ENCFF001XJI.bed.gz,H3K27me3  
ENCFF001UBU.bed.gz,EP300  
ENCFF304HOM.bed.gz,H3K9ac  
ENCFF439TNB.bed.gz,H3K79me2  
ENCFF876HAH.bed.gz,H3K9me3  
ENCFF174FQT.bed.gz,POLR2A  
ENCFF001WZS.bed.gz,H3K27me3  
ENCFF078ZWH.bed.gz,H3K4me3  
ENCFF001XFF.bed.gz,H3K4me3  
ENCFF003ZEF.bed.gz,H3K27ac  
ENCFF506ZEZ.bed.gz,H3K4me3  
ENCFF059YGY.bed.gz,H3K9ac  
ENCFF723XTW.bed.gz,H3K27me3  
ENCFF109CZT.bed.gz,H3K9me3  
ENCFF002CKX.bed.gz,POLR2A  
ENCFF013DHX.bed.gz,H3K27me3  
ENCFF112SUZ.bed.gz,H2AFZ  
ENCFF909APK.bed.gz,H3K4me3  
ENCFF270HKF.bed.gz,H3K79me2  
ENCFF032EWQ.bed.gz,H3K4me3  
ENCFF086NLE.bed.gz,H3K4me1  
ENCFF383TDS.bed.gz,H3K9ac  
ENCFF946CYU.bed.gz,H3K27ac  
ENCFF001XAU.bed.gz,H3K4me3  
ENCFF019PNM.bed.gz,H3K9ac  
ENCFF647IAX.bed.gz,H3K4me3  
ENCFF274HZI.bed.gz,H4K20me1  
ENCFF869ZRZ.bed.gz,H3K9ac  
ENCFF943JKE.bed.gz,POLR2AphosphoS5  
ENCFF794VMY.bed.gz,H3K27ac  
ENCFF657UUA.bed.gz,H3K4me3  
ENCFF471XJL.bed.gz,H3K27me3  
ENCFF001XCB.bed.gz,H3K4me3  
ENCFF024YVY.bed.gz,H3K36me3  
ENCFF940ITK.bed.gz,H3K36me3  
ENCFF259JWD.bed.gz,EP300  
ENCFF001XAO.bed.gz,H3K36me3  
ENCFF931FRR.bed.gz,H3K27me3  
ENCFF670BFD.bed.gz,H3K4me3  
ENCFF897GSA.bed.gz,H3K4me3  
ENCFF524YEK.bed.gz,H3K79me2  
ENCFF426OTT.bed.gz,H3K27ac  
ENCFF001STH.bed.gz,H4K20me1  
ENCFF107EVX.bed.gz,H3K4me3  
ENCFF078UPL.bed.gz,H3K4me1  
ENCFF580SBV.bed.gz,H3K4me3  
ENCFF356QKI.bed.gz,H3K9me3  
ENCFF100GDS.bed.gz,H3K36me3  
ENCFF794VCJ.bed.gz,H3K4me1  
ENCFF370CVB.bed.gz,H3K4me3  
ENCFF001TVX.bed.gz,YY1  
ENCFF659VMQ.bed.gz,H3K4me3  
ENCFF160NTQ.bed.gz,H4K20me1  
ENCFF216WND.bed.gz,EP300  
ENCFF749PHH.bed.gz,H3K4me3  
ENCFF977BTX.bed.gz,POLR2A  
ENCFF546CLW.bed.gz,POLR2AphosphoS5  
ENCFF839RWS.bed.gz,H3K4me3  
ENCFF116TSU.bed.gz,POLR2A  
ENCFF359JGC.bed.gz,H3K36me3  
ENCFF086CFV.bed.gz,H3K4me3  
ENCFF450GUU.bed.gz,H3K4me1  
ENCFF907WEZ.bed.gz,RAD21  
ENCFF476TIZ.bed.gz,POLR2AphosphoS5  
ENCFF706ZMD.bed.gz,POLR2AphosphoS5  
ENCFF001SVX.bed.gz,H3K27me3  
ENCFF044FNB.bed.gz,H3K4me3  
ENCFF244QEE.bed.gz,H4K20me1  
ENCFF920RBD.bed.gz,H2AFZ  
ENCFF001TTH.bed.gz,POLR2A  
ENCFF149VRW.bed.gz,EP300  
ENCFF001WUV.bed.gz,H3K9me3  
ENCFF666HPI.bed.gz,POLR2AphosphoS5  
ENCFF764CZH.bed.gz,REST  
ENCFF462LGP.bed.gz,H3K4me3  
ENCFF107KHF.bed.gz,H3K4me1  
ENCFF891BKK.bed.gz,H3K36me3  
ENCFF904KKR.bed.gz,H3K27me3  
ENCFF436OWU.bed.gz,RAD21  
ENCFF070XOU.bed.gz,H3K27me3  
ENCFF503SNH.bed.gz,H3K27ac  
ENCFF690YNB.bed.gz,H3K27me3  
ENCFF921JEC.bed.gz,POLR2A  
ENCFF695ZLD.bed.gz,H3K27me3  
ENCFF019GQM.bed.gz,H3K4me1  
ENCFF001UES.bed.gz,YY1  
ENCFF266FCG.bed.gz,H3K4me1  
ENCFF712HMU.bed.gz,H3K4me3  
ENCFF001XFD.bed.gz,H3K36me3  
ENCFF001XHJ.bed.gz,H3K4me3  
ENCFF176FQT.bed.gz,H3K27ac  
ENCFF994NYI.bed.gz,H3K9me3  
ENCFF419HXY.bed.gz,H3K27me3  
ENCFF975NJL.bed.gz,H3K79me2  
ENCFF721DKV.bed.gz,EP300  
ENCFF594AIG.bed.gz,H3K27ac  
ENCFF912QSD.bed.gz,H3K4me3  
ENCFF920FOI.bed.gz,H4K20me1  
ENCFF002CPE.bed.gz,EP300  
ENCFF774LJL.bed.gz,H3K4me3  
ENCFF278OGS.bed.gz,H3K4me1  
ENCFF931RLY.bed.gz,H3K4me3  
ENCFF431ZIA.bed.gz,H3K4me3  
ENCFF963QJH.bed.gz,H3K36me3  
ENCFF548QJS.bed.gz,H3K4me3  
ENCFF001XJC.bed.gz,H3K4me3  
ENCFF163MJF.bed.gz,H3K4me3  
ENCFF820AKO.bed.gz,H3K4me3  
ENCFF001XID.bed.gz,H3K4me3  
ENCFF322IFF.bed.gz,H3K27me3  
ENCFF630DDL.bed.gz,H3K4me3  
ENCFF068UAA.bed.gz,H3K4me3  
ENCFF769AIG.bed.gz,H3K9me3  
ENCFF776OSL.bed.gz,H3K9me3  
ENCFF082IYT.bed.gz,H3K79me2  
ENCFF259KUQ.bed.gz,H3K4me2  
ENCFF250RDT.bed.gz,H3K27me3  
ENCFF873YHT.bed.gz,H3K4me1  
ENCFF518XSF.bed.gz,H3K4me3  
ENCFF622MMP.bed.gz,POLR2A  
ENCFF996RMY.bed.gz,H3K4me3  
ENCFF640DJP.bed.gz,H3K9ac  
ENCFF362UBD.bed.gz,POLR2AphosphoS5  
ENCFF736OEY.bed.gz,H3K27ac  
ENCFF373MOC.bed.gz,H3K4me3  
ENCFF936XEJ.bed.gz,H3K27ac  
ENCFF274PNL.bed.gz,H3K27ac  
ENCFF348YEE.bed.gz,POLR2A  
ENCFF001XET.bed.gz,H3K4me3  
ENCFF351WOR.bed.gz,H3K27ac  
ENCFF245FGS.bed.gz,H3K4me1  
ENCFF449GBX.bed.gz,H3K4me1  
ENCFF599BDQ.bed.gz,H3K27me3  
ENCFF002ENJ.bed.gz,POLR2A  
ENCFF001TAQ.bed.gz,H3K36me3  
ENCFF339VGD.bed.gz,H3K9ac  
ENCFF505NOH.bed.gz,H3K36me3  
ENCFF002CMF.bed.gz,REST  
ENCFF832BPN.bed.gz,EP300  
ENCFF001SYA.bed.gz,H3K4me2  
ENCFF261HIN.bed.gz,POLR2AphosphoS5  
ENCFF844HQO.bed.gz,H3K27me3  
ENCFF811KVI.bed.gz,H3K9me3  
ENCFF606TCO.bed.gz,POLR2AphosphoS5  
ENCFF286TUS.bed.gz,H3K27me3  
ENCFF712MSN.bed.gz,H3K4me3  
ENCFF001XCH.bed.gz,H3K27me3  
ENCFF306YTZ.bed.gz,H3K9me3  
ENCFF811CMJ.bed.gz,EP300  
ENCFF621LUI.bed.gz,POLR2A  
ENCFF001XEZ.bed.gz,H3K27me3  
ENCFF939JMC.bed.gz,H3K4me3  
ENCFF239QIH.bed.gz,H3K4me3  
ENCFF978QYT.bed.gz,EP300  
ENCFF371HJN.bed.gz,H3K4me3  
ENCFF806PKB.bed.gz,H3K36me3  
